415,The-Clash,Chris-Isaak,Veruca-Salt
577,The-Beatles,Led-Zeppelin,Pink-Floyd
277,Counting-Crows,Live,Coldplay
61,The-Beatles,Creed,ATB
194,The-Beatles,Pink-Floyd,The-Police
198,Billy-Joel,Elton-John,R.E.M.
428,The-Police,Coldplay,David-Bowie
299,U2,Dave-Matthews-Band,AC/DC
539,Eminem,U2,Hoobastank
112,The-Beatles,Eagles,The-Rolling-Stones
174,The-Police,Nirvana,Red-Hot-Chili-Peppers
53,Gary-Numan,Linkin-Park,The-Cure
127,Peter-Gabriel,R.E.M.,The-Police
161,U2,Garbage,Dave-Matthews-Band
510,Outkast,Dave-Matthews-Band,Britney-Spears
460,Dave-Matthews-Band,Def-Leppard,John-Mellencamp
232,Simon-&-Garfunkel,A-Perfect-Circle,Dave-Matthews-Band
23,Pink-Floyd,The-Police,Nirvana
512,Depeche-Mode,Smashing-Pumpkins,Nine-Inch-Nails
22,Dave-Matthews-Band,Live,The-Rolling-Stones
575,Outkast,Eminem,Pink
342,Linkin-Park,Eminem,Outkast
178,Staind,Godsmack,Outkast
117,Live,3-Doors-Down,Weezer
199,Dave-Matthews-Band,Def-Leppard,The-Police
601,Garbage,Sublime,Chevelle
67,AC/DC,The-Police,The-Doors
168,Pink-Floyd,Dave-Matthews-Band,R.E.M.
129,U2,Weezer,Nirvana
360,Nirvana,Korn,Metallica
85,Guns-N'-Roses,Live,Def-Leppard
46,Garbage,Linkin-Park,Tool
222,Pink-Floyd,Journey,Billy-Joel
148,Pink-Floyd,The-Police,Led-Zeppelin
552,Pink-Floyd,U2,Pearl-Jam
455,U2,Dave-Matthews-Band,The-Beatles
487,Foo-Fighters,Dave-Matthews-Band,Puddle-Of-Mudd
151,U2,Pink-Floyd,AC/DC
167,Counting-Crows,Led-Zeppelin,Pink-Floyd
351,Garbage,Hoobastank,Counting-Crows
378,Dave-Matthews-Band,U2,Outkast
582,Tool,Nirvana,Weezer
550,Linkin-Park,Live,No-Doubt
159,U2,Billy-Joel,Linkin-Park
418,U2,No-Doubt,Garbage
172,Counting-Crows,Dave-Matthews-Band,Linkin-Park
120,The-Beatles,Led-Zeppelin,Eric-Clapton
280,Pink-Floyd,Bon-Jovi,U2
555,The-Beatles,Pink-Floyd,Weezer
531,The-Police,The-Who,The-Rolling-Stones
245,Linkin-Park,System-Of-A-Down,Tool
210,Dave-Matthews-Band,Billy-Joel,Dido
303,U2,Shania-Twain,Outkast
548,Pink,Brian-McKnight,Linkin-Park
26,Pink-Floyd,Goo-Goo-Dolls,Dave-Matthews-Band
572,U2,The-Beatles,Weezer
525,U2,The-Beatles,Coldplay
542,The-Police,R.E.M.,U2
583,Eminem,Dave-Matthews-Band,Janet-Jackson
154,Pink-Floyd,Nirvana,Dave-Matthews-Band
374,AC/DC,Aerosmith,Journey
105,The-Police,R.E.M.,Pink-Floyd
24,Pink-Floyd,Sting,R.E.M.
213,Counting-Crows,Pink-Floyd,Dave-Matthews-Band
337,Outkast,Live,Garbage
544,U2,Counting-Crows,Pink
95,Dave-Matthews-Band,Counting-Crows,Bryan-Adams
160,Pink-Floyd,The-Police,Dave-Matthews-Band
283,Nirvana,Puddle-Of-Mudd,No-Doubt
300,The-Beatles,Elton-John,U2
368,U2,Nine-Inch-Nails,Metallica
341,Britney-Spears,Dave-Matthews-Band,Pink-Floyd
567,Pink-Floyd,Nirvana,U2
308,Billy-Joel,Pink-Floyd,Sarah-McLachlan
233,Sublime,Linkin-Park,Tool
81,U2,Counting-Crows,Linkin-Park
293,Duran-Duran,Britney-Spears,Garbage
220,Portishead,No-Doubt,Led-Zeppelin
175,The-Police,The-Beatles,U2
468,U2,Stevie-Wonder,Dave-Matthews-Band
4,Beastie-Boys,Papa-Roach,Tool
38,U2,Eminem,Godsmack
497,U2,Pink-Floyd,Dave-Matthews-Band
458,Tool,System-Of-A-Down,Nirvana
489,Pink,Limp-Bizkit,U2
261,Michelle-Branch,Beyonce,Juvenile
325,U2,Dave-Matthews-Band,Foo-Fighters
538,The-Doors,Radiohead,Nirvana
549,Weezer,Dave-Matthews-Band,The-Cranberries
411,U2,Stevie-Wonder,Queen
11,Counting-Crows,Stevie-Wonder,Dave-Matthews-Band
118,U2,Nirvana,No-Doubt
108,Britney-Spears,U2,Linkin-Park
447,U2,Eminem,Metallica
187,Eminem,Pink-Floyd,The-Beatles
578,Linkin-Park,Sean-Paul,No-Doubt
499,U2,Counting-Crows,Outkast
381,Linkin-Park,Tool,Godsmack
366,Norah-Jones,Pink-Floyd,Peter-Gabriel
395,U2,Led-Zeppelin,The-Police
344,U2,Counting-Crows,Nirvana
431,The-Police,R.E.M.,Norah-Jones
182,Pink-Floyd,U2,Tool
103,Pink-Floyd,The-Police,U2
125,Pink,Linkin-Park,Bon-Jovi
196,Pink,U2,Garbage
246,The-Beatles,U2,Pink-Floyd
166,U2,The-Rolling-Stones,Eagles
375,Nine-Inch-Nails,Nirvana,Korn
41,Dave-Matthews-Band,Nirvana,Sting
385,Evanescence,The-Beatles,Dido
318,The-Beatles,Dave-Matthews-Band,The-Police
359,Nirvana,The-Police,AC/DC
92,Linkin-Park,Beastie-Boys,Prince
54,The-Beatles,Queen,The-Police
80,Dave-Matthews-Band,The-Police,U2
514,Tool,Foo-Fighters,U2
55,The-Beatles,Weezer,Nirvana
438,Gary-Numan,Pink,Counting-Crows
62,U2,Counting-Crows,The-Beatles
331,Nirvana,Dave-Matthews-Band,U2
170,Pink-Floyd,Outkast,Garbage
472,Pink-Floyd,Dave-Matthews-Band,The-Beatles
463,Dave-Matthews-Band,Duran-Duran,The-Cure
132,Eminem,Nirvana,U2
236,U2,Elton-John,Eric-Clapton
613,Nine-Inch-Nails,Beastie-Boys,Depeche-Mode
37,U2,The-Beatles,Billy-Joel
253,Dave-Matthews-Band,The-Beatles,Counting-Crows
83,R.E.M.,The-Rolling-Stones,Led-Zeppelin
330,U2,Dido,Led-Zeppelin
589,3-Doors-Down,Janet-Jackson,Prince
1,U2,Tool,Nirvana
256,Nirvana,Korn,Alice-In-Chains
130,The-Beatles,Pink-Floyd,R.E.M.
12,Steely-Dan,Sting,U2
158,U2,Dave-Matthews-Band,The-Beatles
410,The-Beatles,Pink-Floyd,Sting
133,Dave-Matthews-Band,Chevelle,Outkast
128,U2,Dave-Matthews-Band,Sting
135,Linkin-Park,Eminem,3-Doors-Down
